COUNTRY,question,value,round
1,Q3OTHER,haoussa,r4
2,Q3OTHER,sebanderu,r4
2,Q3OTHER,segxereku,r4
2,Q3OTHER,senajwa,r4
2,Q3OTHER,seshona,r4
2,Q3OTHER,sesotho,r4
2,Q3OTHER,setlharwa,r4
2,Q3OTHER,setswapong,r4
2,Q3OTHER,sezezuru,r4
3,Q3OTHER,bella,r4
3,Q3OTHER,dogon,r4
3,Q3OTHER,kado,r4
3,Q3OTHER,karakan,r4
3,Q3OTHER,pougouli,r4
3,Q3OTHER,sissaba,r4
3,Q3OTHER,tamacheck,r4
3,Q3OTHER,toussian,r4
5,Q3OTHER,assin,r4
5,Q3OTHER,banda,r4
5,Q3OTHER,basare,r4
5,Q3OTHER,basseli,r4
5,Q3OTHER,bemuba,r4
5,Q3OTHER,bimoba,r4
5,Q3OTHER,bisab,r4
5,Q3OTHER,brefo,r4
5,Q3OTHER,brosa,r4
5,Q3OTHER,builsa,r4
5,Q3OTHER,bule,r4
5,Q3OTHER,busanga,r4
5,Q3OTHER,buzanga,r4
5,Q3OTHER,dagaari,r4
5,Q3OTHER,dagate,r4
5,Q3OTHER,dagomba,r4
5,Q3OTHER,dolime,r4
5,Q3OTHER,efutu,r4
5,Q3OTHER,fanti,r4
5,Q3OTHER,frafra,r4
5,Q3OTHER,gonja,r4
5,Q3OTHER,gruma,r4
5,Q3OTHER,gruni,r4
5,Q3OTHER,grussi,r4
5,Q3OTHER,guan,r4
5,Q3OTHER,kasem,r4
5,Q3OTHER,kasina,r4
5,Q3OTHER,konkoba,r4
5,Q3OTHER,kotokoli,r4
5,Q3OTHER,kusal,r4
5,Q3OTHER,kusasi,r4
5,Q3OTHER,larteh,r4
5,Q3OTHER,lekpekpe,r4
5,Q3OTHER,mampruli,r4
5,Q3OTHER,mamprusi,r4
5,Q3OTHER,mossi,r4
5,Q3OTHER,nafana,r4
5,Q3OTHER,nanum,r4
5,Q3OTHER,nzema,r4
5,Q3OTHER,sefwi,r4
5,Q3OTHER,sisila,r4
5,Q3OTHER,talensi,r4
5,Q3OTHER,tampulma,r4
5,Q3OTHER,wa dormu,r4
5,Q3OTHER,waala,r4
5,Q3OTHER,wassa,r4
5,Q3OTHER,zabrama,r4
5,Q3OTHER,zugu,r4
6,Q3OTHER,arabic,r4
6,Q3OTHER,bajun,r4
6,Q3OTHER,borana,r4
6,Q3OTHER,digo,r4
6,Q3OTHER,gabra,r4
6,Q3OTHER,giriama,r4
6,Q3OTHER,gujarat,r4
6,Q3OTHER,indian,r4
6,Q3OTHER,kipsigis,r4
6,Q3OTHER,pokomo,r4
6,Q3OTHER,saboti,r4
6,Q3OTHER,teso,r4
6,Q3OTHER,tiriki,r4
7,Q3OTHER,isixhoza,r4
7,Q3OTHER,mzema,r4
7,Q3OTHER,zhoza,r4
8,Q3OTHER,sarpo,r4
10,Q3OTHER,khokhola,r4
10,Q3OTHER,namwanga,r4
10,Q3OTHER,ndali,r4
10,Q3OTHER,nyika,r4
10,Q3OTHER,wiza,r4
11,Q3OTHER,haoussa,r4
11,Q3OTHER,kakolo,r4
11,Q3OTHER,samogo,r4
11,Q3OTHER,zerma,r4
12,Q3OTHER,cheua,r4
12,Q3OTHER,chewa,r4
12,Q3OTHER,chewe,r4
12,Q3OTHER,chimanica,r4
12,Q3OTHER,chiteue,r4
12,Q3OTHER,chiute,r4
12,Q3OTHER,chona,r4
12,Q3OTHER,chuabo,r4
12,Q3OTHER,coti,r4
12,Q3OTHER,kimwani,r4
12,Q3OTHER,lolo,r4
12,Q3OTHER,lomue,r4
12,Q3OTHER,lomwe,r4
12,Q3OTHER,macheua,r4
12,Q3OTHER,makwe,r4
12,Q3OTHER,malolo,r4
12,Q3OTHER,manhembane,r4
12,Q3OTHER,manhungue,r4
12,Q3OTHER,marenge,r4
12,Q3OTHER,marenje,r4
12,Q3OTHER,mateue,r4
12,Q3OTHER,mathewe,r4
12,Q3OTHER,matsua,r4
12,Q3OTHER,muani,r4
12,Q3OTHER,muauni,r4
12,Q3OTHER,muniga,r4
12,Q3OTHER,munoga,r4
12,Q3OTHER,nhungue,r4
12,Q3OTHER,nyungue,r4
12,Q3OTHER,ronga,r4
12,Q3OTHER,sena,r4
12,Q3OTHER,shona,r4
12,Q3OTHER,"shona, cheua",r4
12,Q3OTHER,tacuane,r4
12,Q3OTHER,tewe,r4
12,Q3OTHER,tonga,r4
12,Q3OTHER,xiteu,r4
12,Q3OTHER,xitsua,r4
13,Q3OTHER,mufwe,r4
13,Q3OTHER,nyemba,r4
13,Q3OTHER,san,r4
13,Q3OTHER,sifwe,r4
13,Q3OTHER,totela,r4
13,Q3OTHER,uumbundu,r4
14,Q3OTHER,abi,r4
14,Q3OTHER,abua,r4
14,Q3OTHER,adun,r4
14,Q3OTHER,afikpo,r4
14,Q3OTHER,ahuda,r4
14,Q3OTHER,aka,r4
14,Q3OTHER,akwandara,r4
14,Q3OTHER,andoni,r4
14,Q3OTHER,angas,r4
14,Q3OTHER,ankwai,r4
14,Q3OTHER,arago,r4
14,Q3OTHER,awak,r4
14,Q3OTHER,awori,r4
14,Q3OTHER,azoqo,r4
14,Q3OTHER,babur,r4
14,Q3OTHER,bachama,r4
14,Q3OTHER,bada,r4
14,Q3OTHER,balawa,r4
14,Q3OTHER,bassa,r4
14,Q3OTHER,bazanfara,r4
14,Q3OTHER,bekwaira,r4
14,Q3OTHER,betem,r4
14,Q3OTHER,bette,r4
14,Q3OTHER,birom,r4
14,Q3OTHER,bisa,r4
14,Q3OTHER,brass,r4
14,Q3OTHER,calabar,r4
14,Q3OTHER,chibok,r4
14,Q3OTHER,cross river yala,r4
14,Q3OTHER,diemak,r4
14,Q3OTHER,eapie,r4
14,Q3OTHER,ecthie,r4
14,Q3OTHER,egbema,r4
14,Q3OTHER,egbma,r4
14,Q3OTHER,egede,r4
14,Q3OTHER,eggon,r4
14,Q3OTHER,ejagam,r4
14,Q3OTHER,eleme,r4
14,Q3OTHER,epeye,r4
14,Q3OTHER,epia,r4
14,Q3OTHER,gbagyi,r4
14,Q3OTHER,glanda,r4
14,Q3OTHER,gomai,r4
14,Q3OTHER,gwari,r4
14,Q3OTHER,higgi,r4
14,Q3OTHER,ibani,r4
14,Q3OTHER,ichen,r4
14,Q3OTHER,igara,r4
14,Q3OTHER,igede,r4
14,Q3OTHER,ipia,r4
14,Q3OTHER,iyala,r4
14,Q3OTHER,jukun,r4
14,Q3OTHER,jukun donga,r4
14,Q3OTHER,kagoro,r4
14,Q3OTHER,kagoru,r4
14,Q3OTHER,kalabari,r4
14,Q3OTHER,kambari,r4
14,Q3OTHER,kambu,r4
14,Q3OTHER,kari-kari,r4
14,Q3OTHER,kataf,r4
14,Q3OTHER,kataf(atyap),r4
14,Q3OTHER,khana,r4
14,Q3OTHER,kuteb,r4
14,Q3OTHER,kwalla,r4
14,Q3OTHER,mambilla,r4
14,Q3OTHER,manga,r4
14,Q3OTHER,marghi,r4
14,Q3OTHER,mbembe,r4
14,Q3OTHER,michica,r4
14,Q3OTHER,minyam,r4
14,Q3OTHER,mumuye,r4
14,Q3OTHER,muryang,r4
14,Q3OTHER,mwaghawul,r4
14,Q3OTHER,ndoro,r4
14,Q3OTHER,nedere,r4
14,Q3OTHER,numana,r4
14,Q3OTHER,obubra,r4
14,Q3OTHER,ogaja,r4
14,Q3OTHER,ogbia,r4
14,Q3OTHER,okirika,r4
14,Q3OTHER,opobo,r4
14,Q3OTHER,oron,r4
14,Q3OTHER,rendere,r4
14,Q3OTHER,shuwa arab,r4
14,Q3OTHER,tangale,r4
14,Q3OTHER,tarah,r4
14,Q3OTHER,tera,r4
14,Q3OTHER,tigum,r4
14,Q3OTHER,tigun,r4
14,Q3OTHER,ugep,r4
14,Q3OTHER,waja,r4
14,Q3OTHER,yakur,r4
14,Q3OTHER,zuru,r4
15,Q3OTHER,balante,r4
15,Q3OTHER,marocain,r4
16,Q3OTHER,asian,r4
16,Q3OTHER,asian/indian,r4
16,Q3OTHER,chichewa,r4
16,Q3OTHER,indian,r4
16,Q3OTHER,pashto,r4
17,Q3OTHER,kakaguru,r4
17,Q3OTHER,kial-yorobi,r4
17,Q3OTHER,kiarusha,r4
17,Q3OTHER,kiasi,r4
17,Q3OTHER,kibarbaik,r4
17,Q3OTHER,kibembe,r4
17,Q3OTHER,kibena,r4
17,Q3OTHER,kibondei,r4
17,Q3OTHER,kibungu,r4
17,Q3OTHER,kidigo,r4
17,Q3OTHER,kiha,r4
17,Q3OTHER,kihangaza,r4
17,Q3OTHER,kihindi,r4
17,Q3OTHER,kiiraqi,r4
17,Q3OTHER,kijaluo,r4
17,Q3OTHER,kijita,r4
17,Q3OTHER,kikerewe,r4
17,Q3OTHER,kikimbu,r4
17,Q3OTHER,kikine,r4
17,Q3OTHER,kikinga,r4
17,Q3OTHER,kikonongo,r4
17,Q3OTHER,kikutu,r4
17,Q3OTHER,kikwaya,r4
17,Q3OTHER,kilambya,r4
17,Q3OTHER,kilindi,r4
17,Q3OTHER,kilungwa,r4
17,Q3OTHER,kimakua,r4
17,Q3OTHER,kimalila,r4
17,Q3OTHER,kimambwe,r4
17,Q3OTHER,kimatengo,r4
17,Q3OTHER,kimatumbi,r4
17,Q3OTHER,kimbembe,r4
17,Q3OTHER,kimbulu,r4
17,Q3OTHER,kimbungo,r4
17,Q3OTHER,kimeru,r4
17,Q3OTHER,kimwera,r4
17,Q3OTHER,kindali,r4
17,Q3OTHER,kindamba,r4
17,Q3OTHER,kindendeule,r4
17,Q3OTHER,kindengereko,r4
17,Q3OTHER,kingindo,r4
17,Q3OTHER,kingoni,r4
17,Q3OTHER,kinyagazwa,r4
17,Q3OTHER,kinyambo,r4
17,Q3OTHER,kinyamwanga,r4
17,Q3OTHER,kinyiha,r4
17,Q3OTHER,kipangwa,r4
17,Q3OTHER,kipimbwe,r4
17,Q3OTHER,kipogoro,r4
17,Q3OTHER,kirangi,r4
17,Q3OTHER,kiryeri,r4
17,Q3OTHER,kisafwa,r4
17,Q3OTHER,kisagara,r4
17,Q3OTHER,kisambaa,r4
17,Q3OTHER,kisangu,r4
17,Q3OTHER,kishihiri,r4
17,Q3OTHER,kishirazi,r4
17,Q3OTHER,kishubi,r4
17,Q3OTHER,kisuba,r4
17,Q3OTHER,kisumbwa,r4
17,Q3OTHER,kitumbatu,r4
17,Q3OTHER,kividunda,r4
17,Q3OTHER,kiwanji,r4
17,Q3OTHER,kiyao,r4
17,Q3OTHER,kizanaki,r4
17,Q3OTHER,kizaramo,r4
17,Q3OTHER,kizigua,r4
17,Q3OTHER,kizinza,r4
18,Q3OTHER,akumu,r4
18,Q3OTHER,aringa,r4
18,Q3OTHER,kakwa,r4
18,Q3OTHER,karamajong,r4
18,Q3OTHER,kumam,r4
18,Q3OTHER,lululi,r4
18,Q3OTHER,lwamba,r4
18,Q3OTHER,nubian,r4
18,Q3OTHER,rufumbira,r4
18,Q3OTHER,rulundi,r4
18,Q3OTHER,runyarwanda,r4
18,Q3OTHER,rwandese,r4
18,Q3OTHER,sabiny,r4
19,Q3OTHER,bwile,r4
19,Q3OTHER,chokwe,r4
19,Q3OTHER,icishila,r4
19,Q3OTHER,kunda,r4
19,Q3OTHER,lala,r4
19,Q3OTHER,lamba,r4
19,Q3OTHER,luchazi,r4
19,Q3OTHER,lunda kazembe,r4
19,Q3OTHER,lungu,r4
19,Q3OTHER,mbunda,r4
19,Q3OTHER,ndebele,r4
19,Q3OTHER,ngumbo,r4
19,Q3OTHER,nyika,r4
19,Q3OTHER,sala,r4
19,Q3OTHER,senga,r4
19,Q3OTHER,shona,r4
19,Q3OTHER,swaka,r4
19,Q3OTHER,tokaleya,r4
19,Q3OTHER,ushi,r4
19,Q3OTHER,usmi,r4
19,Q3OTHER,zezulu,r4
20,Q3OTHER,budya,r4
20,Q3OTHER,changani,r4
20,Q3OTHER,chewa,r4
20,Q3OTHER,chikaranga,r4
20,Q3OTHER,dombe,r4
20,Q3OTHER,karanga,r4
20,Q3OTHER,korekore,r4
20,Q3OTHER,malawian,r4
20,Q3OTHER,manica (mozambican),r4
20,Q3OTHER,manyika,r4
20,Q3OTHER,maungwe,r4
20,Q3OTHER,mozambican,r4
20,Q3OTHER,nambia,r4
20,Q3OTHER,nambya,r4
20,Q3OTHER,ndau,r4
20,Q3OTHER,nyaho (chawa),r4
20,Q3OTHER,nyanja,r4
20,Q3OTHER,shangani,r4
20,Q3OTHER,taura (mozambican),r4
20,Q3OTHER,yao,r4
20,Q3OTHER,zezuru,r4
1,Q103OTHER,boo,r5
1,Q103OTHER,ditamari,r5
1,Q103OTHER,peulh,r5
6,Q103OTHER,eng and swahili,r5
6,Q103OTHER,kisii,r5
6,Q103OTHER,kuria,r5
6,Q103OTHER,masai,r5
6,Q103OTHER,pokot,r5
6,Q103OTHER,somali,r5
6,Q103OTHER,swahili,r5
6,Q103OTHER,turkana,r5
7,Q103OTHER,sethepu,r5
8,Q103OTHER,standard english,r5
12,Q103OTHER,ronga,r5
12,Q103OTHER,xitsua,r5
15,Q103OTHER,badiaranke,r5
16,Q103OTHER,shangaan,r5
16,Q103OTHER,siswati,r5
16,Q103OTHER,tsonga,r5
18,Q103OTHER,lugwere,r5
19,Q103OTHER,senga,r5
19,Q103OTHER,tumbuka,r5
20,Q103OTHER,nambya,r5
20,Q103OTHER,ndau,r5
20,Q103OTHER,nyanja,r5
20,Q103OTHER,shona & ndebele,r5
21,Q103OTHER,bhojpuri,r5
22,Q103OTHER,limba,r5
22,Q103OTHER,sherbro,r5
24,Q103OTHER,akebou,r5
24,Q103OTHER,gangan,r5
24,Q103OTHER,gourma,r5
24,Q103OTHER,haoussa,r5
24,Q103OTHER,kpessi,r5
24,Q103OTHER,mina,r5
26,Q103OTHER,baham,r5
26,Q103OTHER,bandjoun,r5
26,Q103OTHER,dii,r5
26,Q103OTHER,guidar,r5
26,Q103OTHER,haoussa,r5
26,Q103OTHER,mafa,r5
26,Q103OTHER,mbamois,r5
26,Q103OTHER,mbo,r5
26,Q103OTHER,mboum,r5
26,Q103OTHER,tikar,r5
26,Q103OTHER,yambassa,r5
28,Q103OTHER,bassano foula,r5
28,Q103OTHER,landouma,r5
28,Q103OTHER,manian,r5
30,Q103OTHER,isizulu,r5
1,Q116OTHER,boo,r5
3,Q116OTHER,fulse,r5
5,Q116OTHER,dagaare,r5
5,Q116OTHER,frafra,r5
5,Q116OTHER,waale,r5
12,Q116OTHER,chitewe,r5
12,Q116OTHER,xitswa,r5
14,Q116OTHER,babur,r5
14,Q116OTHER,bachama,r5
14,Q116OTHER,bajju,r5
14,Q116OTHER,bassa,r5
14,Q116OTHER,burah,r5
14,Q116OTHER,izere,r5
14,Q116OTHER,jaba,r5
14,Q116OTHER,jarawa,r5
14,Q116OTHER,jukun,r5
14,Q116OTHER,koro,r5
14,Q116OTHER,ngas,r5
14,Q116OTHER,ron,r5
14,Q116OTHER,sayawa,r5
14,Q116OTHER,zuru,r5
17,Q116OTHER,kijita,r5
17,Q116OTHER,kiluri,r5
18,Q116OTHER,rufumbiira,r5
19,Q116OTHER,nyika,r5
24,Q116OTHER,anyanga,r5
26,Q116OTHER,bandjoun,r5
26,Q116OTHER,banen,r5
26,Q116OTHER,bassa,r5
26,Q116OTHER,bayangam,r5
26,Q116OTHER,eton,r5
26,Q116OTHER,kotoko,r5
26,Q116OTHER,mafa,r5
26,Q116OTHER,mbo,r5
26,Q116OTHER,ntoumou,r5
26,Q116OTHER,nyem nyem,r5
27,Q116OTHER,aboure,r5
27,Q116OTHER,ahizi,r5
27,Q116OTHER,dahomey,r5
27,Q116OTHER,toura,r5
27,Q116OTHER,wobe,r5
33,Q116OTHER,tamazight,r5
1,Q2OTHER,boo,r5
1,Q2OTHER,fodo,r5
1,Q2OTHER,houssa,r5
1,Q2OTHER,kotocoli,r5
1,Q2OTHER,koura,r5
1,Q2OTHER,natimba,r5
1,Q2OTHER,waama,r5
1,Q2OTHER,zerma,r5
2,Q2OTHER,mokaa,r5
2,Q2OTHER,parakarungu,r5
2,Q2OTHER,sebanderu,r5
2,Q2OTHER,sebolongwe,r5
2,Q2OTHER,sekolong,r5
2,Q2OTHER,senanjwa,r5
2,Q2OTHER,sepedi,r5
2,Q2OTHER,setebele,r5
2,Q2OTHER,setlharo,r5
2,Q2OTHER,setswapong,r5
3,Q2OTHER,bobo,r5
3,Q2OTHER,bolon,r5
3,Q2OTHER,dafing,r5
3,Q2OTHER,dogosse,r5
3,Q2OTHER,haoussa,r5
3,Q2OTHER,mionga,r5
3,Q2OTHER,sambla,r5
3,Q2OTHER,toussian,r5
3,Q2OTHER,turka,r5
3,Q2OTHER,yanan,r5
5,Q2OTHER,akan,r5
5,Q2OTHER,akyode,r5
5,Q2OTHER,awutu,r5
5,Q2OTHER,ayigbe,r5
5,Q2OTHER,banda,r5
5,Q2OTHER,basare,r5
5,Q2OTHER,battor,r5
5,Q2OTHER,bimoba,r5
5,Q2OTHER,birifori,r5
5,Q2OTHER,buile,r5
5,Q2OTHER,builsa,r5
5,Q2OTHER,busanga,r5
5,Q2OTHER,chamba,r5
5,Q2OTHER,chimullu,r5
5,Q2OTHER,chokosi,r5
5,Q2OTHER,dagaare,r5
5,Q2OTHER,dagomba,r5
5,Q2OTHER,dibebi,r5
5,Q2OTHER,fante,r5
5,Q2OTHER,frafra,r5
5,Q2OTHER,fulani,r5
5,Q2OTHER,gonja,r5
5,Q2OTHER,gruni,r5
5,Q2OTHER,guan,r5
5,Q2OTHER,guruma,r5
5,Q2OTHER,hanga,r5
5,Q2OTHER,kanjaga,r5
5,Q2OTHER,kasena,r5
5,Q2OTHER,konkomba,r5
5,Q2OTHER,kotokoli,r5
5,Q2OTHER,krachi,r5
5,Q2OTHER,krobo,r5
5,Q2OTHER,kusaasi,r5
5,Q2OTHER,kusal,r5
5,Q2OTHER,lakpakaw,r5
5,Q2OTHER,mampruli,r5
5,Q2OTHER,moshie,r5
5,Q2OTHER,nabdam,r5
5,Q2OTHER,nanumba,r5
5,Q2OTHER,nawurt,r5
5,Q2OTHER,nkura,r5
5,Q2OTHER,nusu,r5
5,Q2OTHER,nzema,r5
5,Q2OTHER,sissala,r5
5,Q2OTHER,talensi,r5
5,Q2OTHER,timbru,r5
5,Q2OTHER,tombolon,r5
5,Q2OTHER,waala,r5
5,Q2OTHER,wangra,r5
5,Q2OTHER,zamrama,r5
6,Q2OTHER,arabic,r5
6,Q2OTHER,asian south,r5
6,Q2OTHER,borana,r5
6,Q2OTHER,dinka,r5
6,Q2OTHER,giriama,r5
6,Q2OTHER,gujrathi,r5
6,Q2OTHER,"half taita, half zai",r5
6,Q2OTHER,hindu,r5
6,Q2OTHER,indian,r5
6,Q2OTHER,kenyan,r5
6,Q2OTHER,kirinyaga,r5
6,Q2OTHER,kuria,r5
6,Q2OTHER,marachi,r5
6,Q2OTHER,mbeere,r5
6,Q2OTHER,nubian,r5
6,Q2OTHER,oroma,r5
6,Q2OTHER,pokomo,r5
6,Q2OTHER,punjabi,r5
6,Q2OTHER,rendile,r5
6,Q2OTHER,sabaot,r5
6,Q2OTHER,shelshel,r5
6,Q2OTHER,suba,r5
6,Q2OTHER,teso,r5
6,Q2OTHER,tharaka,r5
6,Q2OTHER,wardei,r5
7,Q2OTHER,xhosa,r5
8,Q2OTHER,sapo,r5
10,Q2OTHER,chilambya,r5
10,Q2OTHER,chinamwanga,r5
10,Q2OTHER,chindali,r5
10,Q2OTHER,chindalii,r5
10,Q2OTHER,chindebele,r5
10,Q2OTHER,chinyakyusa,r5
10,Q2OTHER,chinyika,r5
11,Q2OTHER,dafing,r5
12,Q2OTHER,bitonga,r5
12,Q2OTHER,chechewa,r5
12,Q2OTHER,chibarue,r5
12,Q2OTHER,chibaure,r5
12,Q2OTHER,chiburue,r5
12,Q2OTHER,chichewa,r5
12,Q2OTHER,chigorongozi,r5
12,Q2OTHER,chimanica,r5
12,Q2OTHER,chimarenge,r5
12,Q2OTHER,chingoni,r5
12,Q2OTHER,chingozi,r5
12,Q2OTHER,chinhungue,r5
12,Q2OTHER,chitawala,r5
12,Q2OTHER,chitewe,r5
12,Q2OTHER,chitswa,r5
12,Q2OTHER,cicoti,r5
12,Q2OTHER,english,r5
12,Q2OTHER,kimuani,r5
12,Q2OTHER,lolo,r5
12,Q2OTHER,lomwe,r5
12,Q2OTHER,lumwe,r5
12,Q2OTHER,manhawa,r5
12,Q2OTHER,nharinga,r5
12,Q2OTHER,nsenga,r5
12,Q2OTHER,ronga,r5
12,Q2OTHER,tacuane,r5
12,Q2OTHER,yao,r5
13,Q2OTHER,barakwena,r5
13,Q2OTHER,kavango,r5
13,Q2OTHER,nyemba,r5
13,Q2OTHER,rumbundu,r5
13,Q2OTHER,shona,r5
13,Q2OTHER,zembas,r5
14,Q2OTHER,afizere,r5
14,Q2OTHER,agbor,r5
14,Q2OTHER,ahoada,r5
14,Q2OTHER,akumazi,r5
14,Q2OTHER,alago,r5
14,Q2OTHER,amoh,r5
14,Q2OTHER,anang,r5
14,Q2OTHER,andoni,r5
14,Q2OTHER,angas,r5
14,Q2OTHER,attakar,r5
14,Q2OTHER,auchi,r5
14,Q2OTHER,awa,r5
14,Q2OTHER,bagwom,r5
14,Q2OTHER,bajju,r5
14,Q2OTHER,bakamuka,r5
14,Q2OTHER,basange,r5
14,Q2OTHER,bille,r5
14,Q2OTHER,birom,r5
14,Q2OTHER,bogobara,r5
14,Q2OTHER,bole,r5
14,Q2OTHER,borom,r5
14,Q2OTHER,bura,r5
14,Q2OTHER,chamba,r5
14,Q2OTHER,chawai,r5
14,Q2OTHER,chibok,r5
14,Q2OTHER,delta,r5
14,Q2OTHER,egbueuakaa,r5
14,Q2OTHER,eggon,r5
